62,50
39,23
13,51
18,15
9,6
48,57
42,31
9,52
20,3
52,49
51,37
29,27
16,54
46,10
14,58
31,34
11,31
5,60
59,50
36,3
22,2
62,19
40,33
8,49
14,47
59,42
63,0
44,3
15,57
32,7
35,47
29,39
34,48
13,21
32,22
27,11
38,15
58,35
61,63
52,6
7,27
61,46
12,29
51,46
20,25
5,44
22,52
34,29
6,5
57,35
37,21
18,1
32,39
50,19
37,49
32,28
15,6
17,20
47,21
2,22
11,1
59,10
8,17
25,16
11,15
22,0
4,43
9,5
17,32
12,41
6,63
40,44
6,44
37,19
58,29
20,32
16,6
51,52
54,18
49,8
30,18
35,40
46,32
14,12
54,59
35,9
52,50
6,47
22,5
28,21
45,17
24,8
23,54
27,20
45,63
1,17
9,51
38,8
22,42
11,49
